Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
245115.83,2008,1315906,41009,844862,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
227406.25,2009,1316102,41366,820809,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
220824.75,2010,1316777,42940,813707,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
213810.33,2011,1319815,44412,818789,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
208956.75,2012,1323962,46524,824361,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
216647.67,2013,1326408,45811,835032,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
225282.17,2014,1333223,47369,844499,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
234165.5,2015,1336294,48987,860597,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
243244.67,2016,1342373,50333,873180,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
258474.42,2017,1349767,52026,883500,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
275113.67,2018,1356458,54991,894943,208956.75,275113.67,1315906,1356458,41009,54991,813707,894943
