Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
362435.75,2008,8711090,44564,5123820,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
331962.75,2009,8755602,44532,4992063,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
320268.83,2010,8799624,45544,4960621,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
299220.5,2011,8827783,46911,5018505,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
283767.08,2012,8845483,48849,5053839,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
288439.92,2013,8858362,48470,5132846,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
299777,2014,8866780,50776,5206784,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
302527.5,2015,8870869,52593,5302982,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
305601.25,2016,8874516,54033,5391704,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
314449.08,2017,8888543,55873,5464627,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
328082.67,2018,8908520,59180,5557626,283767.08,362435.75,8711090,8908520,44532,59180,4960621,5557626
