Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
166595.5,2008,657569,36262,491898,166595.5,231588.5,657569,760077,36262,50037,491898,606989
167543.25,2009,664968,36335,492417,166595.5,231588.5,657569,760077,36262,50037,491898,606989
168265.33,2010,674710,39669,503813,166595.5,231588.5,657569,760077,36262,50037,491898,606989
170228.17,2011,685136,42982,529779,166595.5,231588.5,657569,760077,36262,50037,491898,606989
176544.67,2012,701116,49461,567388,166595.5,231588.5,657569,760077,36262,50037,491898,606989
193973.75,2013,721999,47463,587398,166595.5,231588.5,657569,760077,36262,50037,491898,606989
208214.17,2014,737382,49697,606989,166595.5,231588.5,657569,760077,36262,50037,491898,606989
222072.5,2015,754022,48006,597475,166595.5,231588.5,657569,760077,36262,50037,491898,606989
228671.67,2016,754353,47316,576615,166595.5,231588.5,657569,760077,36262,50037,491898,606989
230602.83,2017,755176,47264,575020,166595.5,231588.5,657569,760077,36262,50037,491898,606989
231588.5,2018,760077,50037,581856,166595.5,231588.5,657569,760077,36262,50037,491898,606989
