Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
127794.5,2008,11515391,32372,6725195,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
121326.83,2009,11528896,32221,6454964,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
118265.92,2010,11539327,33036,6418162,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
112401.42,2011,11543463,34941,6521658,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
109413.42,2012,11548369,36387,6605931,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
111240.5,2013,11576576,36573,6680769,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
113725.08,2014,11602973,38104,6771468,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
118055.58,2015,11617850,39411,6862067,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
123301.17,2016,11635003,40039,6932002,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
130903,2017,11664129,41472,7005100,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
139560.75,2018,11689442,43579,7092980,109413.42,139560.75,11515391,11689442,32221,43579,6418162,7092980
