Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
104277.25,2008,3668976,34584,2186554,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
104010.17,2009,3717572,32485,2136548,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
104873.33,2010,3759632,33598,2130128,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
102202.25,2011,3787821,35415,2158874,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
102301.75,2012,3818600,37680,2211773,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
104626.08,2013,3853205,39041,2248291,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
107664.42,2014,3878367,41279,2272885,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
111529.33,2015,3909831,39991,2286956,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
114632.83,2016,3926769,37891,2286070,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
118630.17,2017,3932640,39471,2294185,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
122387.33,2018,3943079,42008,2330982,102202.25,122387.33,3668976,3943079,32485,42008,2130128,2330982
