Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
272724,2008,3768748,32497,2288619,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
245365.33,2009,3808600,31978,2189148,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
231135.92,2010,3837532,32433,2174324,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
211647.08,2011,3871728,33535,2201553,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
208915.75,2012,3899118,35196,2219899,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
229744.75,2013,3922908,35057,2259714,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
249324.58,2014,3964106,37221,2323122,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
268936.92,2015,4016918,39303,2390658,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
298697.75,2016,4091404,40330,2449802,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
326006.83,2017,4146592,41992,2522273,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
347421.58,2018,4190713,44397,2582370,208915.75,347421.58,3768748,4190713,31978,44397,2174324,2582370
