Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
174435.08,2008,12612285,36555,7278608,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
168347.92,2009,12666858,36458,7101557,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
167524.92,2010,12711158,37863,7119776,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
160201.17,2011,12744583,39412,7217098,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
156690.58,2012,12766827,41159,7284519,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
158378.58,2013,12776621,41123,7350854,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
161127.08,2014,12789101,42865,7434313,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
163779.42,2015,12785759,44358,7510216,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
167991.08,2016,12783538,45534,7593573,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
174691.75,2017,12790447,46825,7677266,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
184239.08,2018,12807060,49869,7798395,156690.58,184239.08,12612285,12807060,36458,49869,7101557,7798395
