Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
283540.25,2008,1055003,36979,608905,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
249658.5,2009,1053646,37035,588284,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
246044.92,2010,1053938,38961,586363,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
232612.25,2011,1053536,39969,591692,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
220074.25,2012,1054601,41629,592978,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
227867.83,2013,1055122,41055,602429,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
238103.08,2014,1056017,42726,613133,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
242716.33,2015,1056173,44316,627000,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
255377.92,2016,1057063,44637,632399,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
271366.92,2017,1056486,46238,639244,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
289902.75,2018,1057315,48742,648340,220074.25,289902.75,1053536,1057315,36979,48742,586363,648340
