Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
163794.83,2008,4528996,29730,2472423,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
154366.92,2009,4589872,29214,2367886,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
149197.58,2010,4635656,29842,2357627,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
141107,2011,4671422,31037,2427409,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
138556.33,2012,4717112,32448,2453282,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
140887.25,2013,4764153,32272,2500792,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
145943.83,2014,4823793,34058,2564448,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
150964.67,2015,4892253,35529,2636675,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
157892.67,2016,4958235,36216,2699902,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
165935.17,2017,5021219,37755,2766293,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
175730.58,2018,5084127,39401,2842433,138556.33,175730.58,4528996,5084127,29214,39401,2357627,2842433
