Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
141959.58,2008,6247411,31898,3677072,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
136243.08,2009,6306019,32075,3523861,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
133397.25,2010,6355301,33300,3515804,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
128642,2011,6397410,34860,3589041,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
127184.75,2012,6451281,36452,3635195,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
130320.92,2013,6493432,36285,3688630,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
135503.92,2014,6540826,37460,3772332,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
140809.67,2015,6590808,38927,3858802,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
149111.67,2016,6645011,39853,3950400,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
159982.42,2017,6708794,40956,4041451,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
172047.92,2018,6770010,42922,4119516,127184.75,172047.92,6247411,6770010,31898,42922,3515804,4119516
