Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
94693.33,2008,1840310,28069,918366,88932.83,103397,1805832,1856764,28069,37061,889595,918927
92094.92,2009,1847775,28701,899038,88932.83,103397,1805832,1856764,28069,37061,889595,918927
90251.17,2010,1854214,29568,899472,88932.83,103397,1805832,1856764,28069,37061,889595,918927
88932.83,2011,1856074,30861,909035,88932.83,103397,1805832,1856764,28069,37061,889595,918927
89108.17,2012,1856764,31984,918927,88932.83,103397,1805832,1856764,28069,37061,889595,918927
90734.17,2013,1853873,31617,913619,88932.83,103397,1805832,1856764,28069,37061,889595,918927
92923.33,2014,1849467,32656,911516,88932.83,103397,1805832,1856764,28069,37061,889595,918927
95373.75,2015,1841996,33300,903866,88932.83,103397,1805832,1856764,28069,37061,889595,918927
97724.17,2016,1830929,33433,889595,88932.83,103397,1805832,1856764,28069,37061,889595,918927
99765.92,2017,1817048,34985,890055,88932.83,103397,1805832,1856764,28069,37061,889595,918927
103397,2018,1805832,37061,903962,88932.83,103397,1805832,1856764,28069,37061,889595,918927
