Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
203510.75,2008,546043,42794,398969,194783.58,234967.58,546043,585668,40153,54713,385059,406343
199695.08,2009,559851,40153,387473,194783.58,234967.58,546043,585668,40153,54713,385059,406343
196620.08,2010,564483,41574,385059,194783.58,234967.58,546043,585668,40153,54713,385059,406343
194783.58,2011,567224,45337,390303,194783.58,234967.58,546043,585668,40153,54713,385059,406343
198397.75,2012,576270,47690,396704,194783.58,234967.58,546043,585668,40153,54713,385059,406343
205082.75,2013,582123,47025,400402,194783.58,234967.58,546043,585668,40153,54713,385059,406343
212191.83,2014,582548,50549,406343,194783.58,234967.58,546043,585668,40153,54713,385059,406343
220188.17,2015,585668,51092,406054,194783.58,234967.58,546043,585668,40153,54713,385059,406343
224972.42,2016,584290,49312,398265,194783.58,234967.58,546043,585668,40153,54713,385059,406343
226818.58,2017,578934,50801,399994,194783.58,234967.58,546043,585668,40153,54713,385059,406343
234967.58,2018,577737,54713,405010,194783.58,234967.58,546043,585668,40153,54713,385059,406343
