State,County|Code
CA,Alameda|00037
CA,Alameda|00088
CA,Alameda|00158
CA,Alameda|00218
CA,Alameda|00261
CA,Alameda|00323
CA,Alameda|00457
CA,Alameda|00504
CA,Alameda|00533
CA,Alameda|00807
CA,Alameda|00934
CA,Alameda|01023
CA,Alameda|01503
CA,Alameda|02211
CA,Alameda|03375
CA,Alameda|03763
CA,Alameda|17081
CA,Alpine|15797
CA,Alpine|19967
CA,Amador|04487
CA,Amador|05477
CA,Amador|05559
CA,Amador|08472
CA,Amador|09465
CA,Amador|09524
CA,Amador|13334
CA,Amador|20526
CA,Amador|25638
CA,Amador|26195
CA,Butte|00228
CA,Butte|00733
CA,Butte|01611
CA,Butte|03316
CA,Butte|06924
CA,Butte|08761
CA,Butte|08793
CA,Butte|09687
CA,Butte|10055
CA,Butte|18507
CA,Butte|19850
CA,Butte|20967
CA,Butte|21080
CA,Butte|25198
CA,Butte|25611
CA,Calaveras|03159
CA,Calaveras|05680
CA,Calaveras|05877
CA,Calaveras|06898
CA,Calaveras|07731
CA,Calaveras|08020
CA,Calaveras|08546
CA,Calaveras|08792
CA,Calaveras|09566
CA,Calaveras|19576
CA,Calaveras|20463
CA,Calaveras|20581
CA,Calaveras|20872
CA,Calaveras|24033
CA,Calaveras|24256
CA,Colusa|05086
CA,Colusa|10367
CA,Colusa|12680
CA,Colusa|18990
CA,Colusa|22251
CA,Colusa|24767
CA,Contra Costa|00186
CA,Contra Costa|00279
CA,Contra Costa|00355
CA,Contra Costa|00376
CA,Contra Costa|00397
CA,Contra Costa|00463
CA,Contra Costa|00522
CA,Contra Costa|00690
CA,Contra Costa|00715
CA,Contra Costa|00841
CA,Contra Costa|01092
CA,Contra Costa|01193
CA,Contra Costa|01518
CA,Contra Costa|01733
CA,Contra Costa|01757
CA,Contra Costa|01804
CA,Contra Costa|02163
CA,Contra Costa|02322
CA,Contra Costa|02489
CA,Contra Costa|02500
CA,Contra Costa|03052
CA,Contra Costa|03668
CA,Contra Costa|03784
CA,Contra Costa|05426
CA,Contra Costa|07645
CA,Contra Costa|17999
CA,Contra Costa|18160
CA,Contra Costa|18226
CA,Contra Costa|23237
CA,Contra Costa|23911
CA,Del Norte|09011
CA,Del Norte|09787
CA,Del Norte|15341
CA,Del Norte|18833
CA,El Dorado|01104
CA,El Dorado|01106
CA,El Dorado|01232
CA,El Dorado|01347
CA,El Dorado|03658
CA,El Dorado|04787
CA,El Dorado|06003
CA,El Dorado|06161
CA,El Dorado|06401
CA,El Dorado|06697
CA,El Dorado|07310
CA,El Dorado|09329
CA,El Dorado|16468
CA,El Dorado|16546
CA,El Dorado|17084
CA,El Dorado|21477
CA,El Dorado|21522
CA,El Dorado|21636
CA,El Dorado|22089
CA,El Dorado|23765
CA,Fresno|00026
CA,Fresno|00224
CA,Fresno|01160
CA,Fresno|01268
CA,Fresno|01348
CA,Fresno|01977
CA,Fresno|02025
CA,Fresno|02504
CA,Fresno|02591
CA,Fresno|02949
CA,Fresno|03969
CA,Fresno|04020
CA,Fresno|04421
CA,Fresno|04718
CA,Fresno|05043
CA,Fresno|05254
CA,Fresno|05652
CA,Fresno|06796
CA,Fresno|07174
CA,Fresno|07340
CA,Fresno|08244
CA,Fresno|08260
CA,Fresno|09113
CA,Fresno|09395
CA,Fresno|18206
CA,Fresno|18350
CA,Fresno|19545
CA,Fresno|19892
CA,Fresno|21738
CA,Fresno|22127
CA,Fresno|23394
CA,Fresno|24707
CA,Fresno|24892
CA,Fresno|25100
CA,Fresno|25329
CA,Fresno|25582
CA,Fresno|25907
CA,Glenn|11143
CA,Glenn|11754
CA,Glenn|17405
CA,Glenn|23160
CA,Glenn|24179
CA,Glenn|24298
CA,Glenn|25106
CA,Humboldt|00822
CA,Humboldt|02017
CA,Humboldt|02347
CA,Humboldt|03063
CA,Humboldt|07012
CA,Humboldt|07409
CA,Humboldt|08047
CA,Humboldt|14677
CA,Humboldt|15558
CA,Humboldt|16347
CA,Humboldt|17321
CA,Humboldt|18711
CA,Humboldt|20328
CA,Humboldt|20377
CA,Humboldt|20747
CA,Humboldt|22042
CA,Humboldt|22908
CA,Humboldt|23120
CA,Humboldt|23179
CA,Humboldt|24193
CA,Humboldt|24615
CA,Humboldt|24879
CA,Humboldt|24931
CA,Humboldt|25173
CA,Humboldt|26058
CA,Imperial|00706
CA,Imperial|01171
CA,Imperial|02044
CA,Imperial|02929
CA,Imperial|02936
CA,Imperial|04821
CA,Imperial|09922
CA,Imperial|11980
CA,Imperial|16448
CA,Imperial|17950
CA,Imperial|20760
CA,Imperial|22264
CA,Imperial|22786
CA,Inyo|02922
CA,Inyo|08460
CA,Inyo|09767
CA,Inyo|20232
CA,Inyo|21174
CA,Inyo|21586
CA,Inyo|25930
CA,Inyo|26073
CA,Kern|00040
CA,Kern|00708
CA,Kern|01198
CA,Kern|01236
CA,Kern|01491
CA,Kern|01661
CA,Kern|02048
CA,Kern|02064
CA,Kern|02086
CA,Kern|02295
CA,Kern|02569
CA,Kern|02627
CA,Kern|03067
CA,Kern|03429
CA,Kern|04662
CA,Kern|05114
CA,Kern|05268
CA,Kern|07602
CA,Kern|08089
CA,Kern|09184
CA,Kern|09858
CA,Kern|16524
CA,Kern|17072
CA,Kern|17157
CA,Kern|17329
CA,Kern|18578
CA,Kern|19736
CA,Kern|19930
CA,Kern|20958
CA,Kern|22792
CA,Kern|23593
CA,Kern|24130
CA,Kern|24351
CA,Kern|24945
CA,Kern|25200
CA,Kern|25407
CA,Kern|25706
CA,Kings|00507
CA,Kings|01083
CA,Kings|01524
CA,Kings|02595
CA,Kings|09507
CA,Kings|21929
CA,Kings|22419
CA,Lake|02701
CA,Lake|03368
CA,Lake|03384
CA,Lake|05405
CA,Lake|05693
CA,Lake|06086
CA,Lake|07113
CA,Lake|09722
CA,Lake|10411
CA,Lake|14333
CA,Lake|21018
CA,Lake|26034
CA,Lake|26133
CA,Lassen|01758
CA,Lassen|06974
CA,Lassen|15034
CA,Lassen|20397
CA,Lassen|21133
CA,Lassen|22946
CA,Lassen|23745
CA,Lassen|24360
CA,Lassen|25150
CA,Lassen|25324
CA,Lassen|25589
CA,Los Angeles|00002
CA,Los Angeles|00028
CA,Los Angeles|00108
CA,Los Angeles|00116
CA,Los Angeles|00127
CA,Los Angeles|00131
CA,Los Angeles|00147
CA,Los Angeles|00151
CA,Los Angeles|00165
CA,Los Angeles|00169
CA,Los Angeles|00170
CA,Los Angeles|00189
CA,Los Angeles|00221
CA,Los Angeles|00229
CA,Los Angeles|00238
CA,Los Angeles|00253
CA,Los Angeles|00281
CA,Los Angeles|00310
CA,Los Angeles|00316
CA,Los Angeles|00319
CA,Los Angeles|00366
CA,Los Angeles|00380
CA,Los Angeles|00404
CA,Los Angeles|00408
CA,Los Angeles|00417
CA,Los Angeles|00437
CA,Los Angeles|00445
CA,Los Angeles|00452
CA,Los Angeles|00502
CA,Los Angeles|00519
CA,Los Angeles|00524
CA,Los Angeles|00545
CA,Los Angeles|00556
CA,Los Angeles|00565
CA,Los Angeles|00593
CA,Los Angeles|00599
CA,Los Angeles|00611
CA,Los Angeles|00630
CA,Los Angeles|00657
CA,Los Angeles|00689
